school,stadium,capacity,city,state
Air Force Falcons,Falcon Stadium,39441,USAF Academy[i],CO
Akron Zips,InfoCision Stadium–Summa Field,30000,Akron,OH
Alabama Crimson Tide,Saban Field at Bryant–Denny Stadium,100077,Tuscaloosa,AL
Appalachian State,Kidd Brewer Stadium,30000,Boone,NC
Arizona State Sun Devils,"Frank Kush Field, Home of the ASU Sun Devils/Mountain America Stadium",56232,Tempe,AZ
Arizona Wildcats,Arizona Stadium,56029,Tucson,AZ
Arkansas Razorbacks,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",76212,Fayetteville,AR
Arkansas State Red Wolves,Centennial Bank Stadium,30964,Jonesboro,AR
Army Black Knights,Blaik Field at Michie Stadium,38000,West Point,NY
Auburn Tigers,Pat Dye Field at Jordan–Hare Stadium,88043,Auburn,AL
BYU Cougars,LaVell Edwards Stadium,63470,Provo,UT
Ball State Cardinals,Scheumann Stadium,22500,Muncie,IN
Baylor Bears,McLane Stadium,45140,Waco,TX
Boise State Broncos,Albertsons Stadium,36387,Boise,ID
Boston College Eagles,Alumni Stadium,44500,Newton[e],MA
Bowling Green State Falcons,Doyt L. Perry Stadium,24000,Bowling Green,OH
Buffalo Bulls,UB Stadium,25013,Amherst[m],NY
California Golden Bears,California Memorial Stadium,62717,Berkeley,CA
Central Michigan Chippewas,Kramer/Deromedi Field at Kelly/Shorts Stadium,30255,Mount Pleasant,MI
Central State,Beaver Stadium,106572,College Township[f],PA
Charlotte,McColl–Richardson Field at Jerry Richardson Stadium,15314,Charlotte,NC
Cincinnati Bearcats,Nippert Stadium,38088,Cincinnati,OH
Clemson Tigers,Frank Howard Field at Clemson Memorial Stadium,81500,Clemson,SC
Coastal Carolina Chanticleers,Brooks Stadium,20000,Conway,SC
Colorado State,Folsom Field,50183,Boulder,CO
Delaware,Delaware Stadium,18309,Newark,DE
Duke Blue Devils,Brooks Field at Wallace Wade Stadium,35018,Durham,NC
East Carolina Pirates,Bagwell Field at Dowdy–Ficklen Stadium,51000,Greenville,NC
Eastern Michigan Eagles,Rynearson Stadium,30200,Ypsilanti,MI
FIU,Pitbull Stadium,23500,Miami[l],FL
Florida Atlantic Owls,Howard Schnellenberger Field at Flagler Credit Union Stadium,30000,Boca Raton,FL
Florida Gators,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,88548,Gainesville,FL
Florida State Seminoles,Bobby Bowden Field at Doak S. Campbell Stadium,67277,Tallahassee,FL
Fresno State Bulldogs,Valley Children's Stadium,41031,Fresno,CA
Georgia Bulldogs,Sanford Stadium,92746,Athens,GA
Georgia Southern Eagles,Allen E. Paulson Stadium,25000,Statesboro,GA
Georgia State Panthers,Center Parc Stadium,25000,Atlanta,GA
Georgia Tech Yellow Jackets,Bobby Dodd Stadium at Hyundai Field,55000,Atlanta,GA
Hawaiʻi,Clarence T. C. Ching Athletics Complex,16909,Honolulu,HI
