iter	Passed	Remaining
0	260	520906
1	379	378776
2	484	322553
3	599	299161
4	706	282038
5	817	271619
6	935	266340
7	1047	260857
8	1153	255239
9	1261	250999
10	1369	247668
11	1476	244565
12	1593	243576
13	1700	241165
14	1813	239963
15	1916	237695
16	2014	235033
17	2117	233145
18	2223	231812
19	2330	230764
20	2444	230340
21	2552	229497
22	2656	228374
23	2763	227546
24	2871	226813
25	2982	226470
26	3089	225759
27	3201	225445
28	3311	225097
29	3419	224567
30	3523	223789
31	3624	222912
32	3734	222574
33	3837	221925
34	3948	221694
35	4056	221315
36	4163	220875
37	4265	220228
38	4363	219429
39	4478	219460
40	4588	219253
41	4687	218512
42	4795	218264
43	4905	218091
44	5018	218039
45	5127	217804
46	5241	217799
47	5340	217176
48	5444	216789
49	5543	216182
50	5641	215607
51	5748	215356
52	5865	215471
53	5981	215562
54	6091	215409
55	6193	215017
56	6301	214816
57	6417	214883
58	6529	214815
59	6638	214652
60	6740	214261
61	6849	214087
62	6950	213715
63	7068	213822
64	7182	213825
65	7287	213540
66	7404	213632
67	7505	213249
68	7614	213090
69	7722	212923
70	7834	212868
71	7955	213041
72	8058	212724
73	8167	212569
74	8265	212152
75	8369	211875
76	8481	211814
77	8588	211635
78	8691	211342
79	8797	211139
80	8904	210958
81	9030	211230
82	9140	211122
83	9248	210946
84	9352	210704
85	9449	210313
86	9559	210208
87	9671	210126
88	9786	210142
89	9894	209975
90	9992	209622
91	10107	209627
92	10211	209383
93	10314	209137
94	10415	208859
95	10542	209098
96	10652	208985
97	10759	208813
98	10871	208757
99	10969	208417
100	11068	208104
101	11174	207935
102	11273	207636
103	11376	207395
104	11475	207109
105	11577	206859
106	11686	206752
107	11789	206533
108	11892	206310
109	11990	206026
110	12102	205962
111	12214	205898
112	12317	205697
113	12414	205382
114	12509	205041
115	12623	205027
116	12729	204864
117	12832	204665
118	12932	204414
119	13034	204199
120	13134	203958
121	13238	203787
122	13342	203602
123	13445	203411
124	13556	203347
125	13665	203252
126	13774	203145
127	13888	203118
128	13990	202921
129	14096	202768
130	14201	202612
131	14305	202446
132	14403	202188
133	14496	201865
134	14596	201643
135	14698	201461
136	14809	201391
137	14921	201332
138	15018	201074
139	15119	200879
140	15220	200678
141	15310	200334
142	15413	200162
143	15521	200051
144	15623	199879
145	15725	199692
146	15812	199321
147	15910	199098
148	16023	199051
149	16115	198753
150	16220	198617
151	16321	198433
152	16428	198322
153	16529	198135
154	16627	197925
155	16719	197629
156	16814	197378
157	16908	197124
158	17004	196892
159	17109	196760
160	17214	196626
161	17305	196337
162	17416	196284
163	17507	195997
164	17598	195722
165	17689	195442
166	17783	195192
167	17875	194926
168	17985	194856
169	18088	194713
170	18191	194574
171	18295	194441
172	18391	194231
173	18486	193999
174	18584	193813
175	18688	193681
176	18779	193413
177	18894	193408
178	18994	193238
179	19097	193096
180	19196	192914
181	19300	192792
182	19414	192770
183	19519	192645
184	19612	192413
185	19709	192221
186	19828	192243
187	19924	192042
188	20026	191898
189	20135	191819
190	20227	191580
191	20328	191424
192	20428	191269
193	20524	191066
194	20618	190848
195	20721	190721
196	20831	190655
197	20922	190411
198	21022	190258
199	21115	190039
200	21215	189887
201	21304	189626
202	21393	189379
203	21506	189339
204	21608	189202
205	21719	189145
206	21835	189132
207	21952	189128
208	22053	188983
209	22161	188902
210	22275	188865
211	22399	188920
212	22519	188927
213	22634	188905
214	22755	188922
215	22867	188871
216	22972	188759
217	23084	188699
218	23191	188602
219	23287	188418
220	23397	188344
221	23512	188311
222	23611	188152
223	23717	188049
224	23834	188026
225	23943	187944
226	24049	187842
227	24151	187700
228	24260	187617
229	24362	187487
230	24462	187333
231	24565	187204
232	24670	187090
233	24772	186958
234	24879	186861
235	24987	186771
236	25084	186597
237	25191	186499
238	25291	186353
239	25387	186175
240	25496	186089
241	25605	186006
242	25707	185875
243	25806	185718
244	25907	185585
245	26006	185431
246	26113	185331
247	26213	185184
