school,stadium,capacity,city,state
Air Force Falcons,Falcon Stadium,39441.0,USAF Academy[i],CO
Akron Zips,InfoCision Stadium–Summa Field,30000.0,Akron,OH
Alabama Crimson Tide,Saban Field at Bryant–Denny Stadium,100077.0,Tuscaloosa,AL
Appalachian State Mountaineers,Kidd Brewer Stadium,30000.0,Boone,NC
Arizona State Sun Devils,"Frank Kush Field, Home of the ASU Sun Devils/Mountain America Stadium",53599.0,Tempe,AZ
Arizona Wildcats,Casino Del Sol Stadium,50782.0,Tucson,AZ
Arkansas Razorbacks,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",76212.0,Fayetteville,AR
Arkansas State Red Wolves,Centennial Bank Stadium,30406.0,Jonesboro,AR
Army West Point Black Knights,Blaik Field at Michie Stadium,30000.0,West Point,NY
Auburn Tigers,Pat Dye Field at Jordan–Hare Stadium,88043.0,Auburn,AL
BYU Cougars,LaVell Edwards Stadium,62073.0,Provo,UT
Ball State Cardinals,Scheumann Stadium,22500.0,Muncie,IN
Baylor Bears,McLane Stadium,45140.0,Waco,TX
Boise State Broncos,Albertsons Stadium,36387.0,Boise,ID
Boston College Eagles,Alumni Stadium,44500.0,Boston[e],MA
Bowling Green State Falcons,Doyt L. Perry Stadium,33572.0,Bowling Green,OH
Buffalo Bulls,UB Stadium,25013.0,Amherst[m],NY
California Golden Bears,California Memorial Stadium,62467.0,Berkeley,CA
Central Michigan Chippewas,Kramer/Deromedi Field at Kelly/Shorts Stadium,35127.0,Mount Pleasant,MI
Charlotte,McColl–Richardson Field at Jerry Richardson Stadium,15314.0,Charlotte,NC
Cincinnati Bearcats,Nippert Stadium,38088.0,Cincinnati,OH
Clemson Tigers,Frank Howard Field at Clemson Memorial Stadium,81500.0,Clemson,SC
Coastal Carolina Chanticleers,Brooks Stadium,21000.0,Conway,SC
Colorado Buffaloes,Folsom Field,50183.0,Boulder,CO
Colorado State Rams,Sonny Lubick Field at Canvas Stadium,41000.0,Fort Collins,CO
Delaware Blue Hens,Delaware Stadium,18500.0,Newark,DE
Duke Blue Devils,Brooks Field at Wallace Wade Stadium,35018.0,Durham,NC
East Carolina Pirates,Bagwell Field at Dowdy–Ficklen Stadium,51000.0,Greenville,NC
Eastern Michigan Eagles,Rynearson Stadium,26188.0,Ypsilanti,MI
Florida Atlantic Owls,Howard Schnellenberger Field at Flagler Credit Union Stadium,30000.0,Boca Raton,FL
Florida Gators,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,88548.0,Gainesville,FL
Florida International Panthers,Pitbull Stadium,20000.0,Miami[l],FL
Florida State Seminoles,Bobby Bowden Field at Doak S. Campbell Stadium,67277.0,Tallahassee,FL
Fresno State Bulldogs,Valley Children's Stadium,40727.0,Fresno,CA
Georgia Bulldogs,Sanford Stadium,93033.0,Athens,GA
Georgia Southern Eagles,Allen E. Paulson Stadium,25000.0,Statesboro,GA
Georgia State Panthers,Center Parc Stadium,24333.0,Atlanta,GA
Georgia Tech Yellow Jackets,Bobby Dodd Stadium at Hyundai Field,51913.0,Atlanta,GA
Hawaiʻi,Clarence T. C. Ching Athletics Complex,15194.0,Honolulu,HI
Houston Cougars,John O'Quinn Field at Space City Financial Stadium,39700.0,Houston,TX
Illinois Fighting Illini,Gies Memorial Stadium,60670.0,Champaign,IL
Indiana Hoosiers,Merchants Bank Field at Memorial Stadium,53524.0,Bloomington,IN
Iowa Hawkeyes,Kinnick Stadium,69250.0,Iowa City,IA
Iowa State Cyclones,Jack Trice Stadium,61500.0,Ames,IA
Jacksonville State Gamecocks,Burgess–Snow Field at AmFirst Stadium,22500.0,Jacksonville,AL
James Madison Dukes,Bridgeforth Stadium,24877.0,Harrisonburg,VA
Kansas Jayhawks,David Booth Kansas Memorial Stadium,41525.0,Lawrence,KS
Kansas State Wildcats,Bill Snyder Family Football Stadium,50000.0,Manhattan,KS
Kennesaw State Owls,Fifth Third Stadium,10200.0,Kennesaw[j],GA
Kent State Golden Flashes,Dix Stadium,25319.0,Kent,OH
Kentucky Wildcats,Kroger Field at C.M. Newton Grounds,61000.0,Lexington,KY
LSU Tigers,Tiger Stadium,102321.0,Baton Rouge,LA
Liberty Flames,Arthur L. Williams Stadium,25000.0,Lynchburg,VA
Louisiana Lafayette Ragin Cajuns,Cajun Field,30000.0,Lafayette,LA
Louisiana Tech Bulldogs,Joe Aillet Stadium,28562.0,Ruston,LA
Louisiana-Monroe,Malone Stadium,27617.0,Monroe,LA
Louisville Cardinals,L&N Federal Credit Union Stadium,60800.0,Louisville,KY
Marshall Thundering Herd,Joan C. Edwards Stadium,30475.0,Huntington,WV
Maryland Terrapins,SECU Stadium,46185.0,College Park,MD
Memphis Tigers,Simmons Bank Liberty Stadium,50000.0,Memphis,TN
Miami Hurricanes,Fred C. Yager Stadium,30087.0,Oxford,OH
Michigan State Spartans,Spartan Stadium,74866.0,East Lansing,MI
Michigan Wolverines,Michigan Stadium,107601.0,Ann Arbor,MI
Middle Tennessee Blue Raiders,"Johnny ""Red"" Floyd Stadium",27303.0,Murfreesboro,TN
Minnesota Golden Gophers,Huntington Bank Stadium,50805.0,Minneapolis,MN
Mississippi,Vaught–Hemingway Stadium at Hollingsworth Field,64038.0,University[n],MS
Mississippi State Bulldogs,Davis Wade Stadium at Scott Field,60311.0,Mississippi State[h],MS
Missouri State Bears,Robert W. Plaster Stadium,17500.0,Springfield,MO
Missouri Tigers,Faurot Field at Memorial Stadium,65000.0,Columbia,MO
NIU,Brigham Field at Huskie Stadium,28211.0,DeKalb,IL
Navy Midshipmen,Navy–Marine Corps Memorial Stadium,34000.0,Annapolis,MD
Nebraska Cornhuskers,"Memorial Stadium, Tom Osborne Field",85458.0,Lincoln,NE
Nevada Wolf Pack,Mackay Stadium,27000.0,Reno,NV
New Mexico Lobos,University Stadium,39224.0,Albuquerque,NM
New Mexico State Aggies,Aggie Memorial Stadium,28853.0,Las Cruces,NM
North Carolina State Wolfpack,Wayne Day Family Field at Carter–Finley Stadium,56919.0,Raleigh,NC
North Carolina Tar Heels,Kenan Stadium,50500.0,Chapel Hill,NC
North Dakota State,Fargodome,18700.0,Fargo,ND
North Texas Mean Green,DATCU Stadium,30100.0,Denton,TX
Northwestern Wildcats,Ryan Field[O 1],35000.0,Evanston,IL
Notre Dame Fighting Irish,Notre Dame Stadium,77622.0,Notre Dame,IN
Ohio Bobcats,Frank Solich Field at Peden Stadium,24000.0,Athens,OH
Ohio State Buckeyes,Ohio Stadium,102780.0,Columbus,OH
Oklahoma Sooners,Gaylord Family Oklahoma Memorial Stadium,80126.0,Norman,OK
Oklahoma State Cowboys,Boone Pickens Stadium,52305.0,Stillwater,OK
Old Dominion Monarchs,Kornblau Field at S.B. Ballard Stadium,21944.0,Norfolk,VA
Oregon Ducks,Autzen Stadium,54000.0,Eugene,OR
Oregon State Beavers,Reser Stadium,35548.0,Corvallis,OR
Penn State Nittany Lions,Beaver Stadium,106572.0,College Township[f],PA
Pittsburgh Panthers,Acrisure Stadium,68400.0,Pittsburgh,PA
Purdue Boilermakers,Ross–Ade Stadium,61441.0,West Lafayette,IN
Rice Owls,Rice Stadium,47000.0,Houston,TX
Rutgers Scarlet Knights,SHI Stadium,52454.0,Piscataway,NJ
Sacramento State Hornets,Hornet Stadium,21195.0,Sacramento,CA
Sam Houston State Bearkats,Elliott T. Bowers Stadium,14000.0,Huntsville,TX
San Diego State Aztecs,Snapdragon Stadium,35000.0,San Diego,CA
San Jose State Spartans,CEFCU Stadium,18203.0,San Jose,CA
South Alabama Jaguars,Hancock Whitney Stadium,25450.0,Mobile,AL
South Carolina Gamecocks,Williams–Brice Stadium,77559.0,Columbia,SC
South Florida Bulls,Raymond James Stadium,65857.0,Tampa,FL
Southern Methodist (SMU) Mustangs,Gerald J. Ford Stadium,32000.0,University Park[k],TX
Southern Miss Golden Eagles,Carlisle-Faulkner Field at M.M. Roberts Stadium,36000.0,Hattiesburg,MS
Stanford Cardinal,Stanford Stadium,50424.0,Stanford,CA
Syracuse Orange,JMA Wireless Dome,42784.0,Syracuse,NY
TCU Horned Frogs,Amon G. Carter Stadium,47000.0,Fort Worth,TX
Temple Owls,Lincoln Financial Field,67594.0,Philadelphia,PA
Tennessee Volunteers,Neyland Stadium,101915.0,Knoxville,TN
Texas A&M Aggies,Kyle Field,102733.0,College Station,TX
Texas Longhorns,Darrell K Royal–Texas Memorial Stadium,100119.0,Austin,TX
Texas State Bobcats,Jim Wacker Field at UFCU Stadium,28388.0,San Marcos,TX
Texas Tech Red Raiders,Galaxy Stadium,60229.0,Lubbock,TX
Toledo Rockets,Glass Bowl,26038.0,Toledo,OH
Troy Trojans,Veterans Memorial Stadium at Larry Blakeney Field,30470.0,Troy,AL
Tulane Green Wave,Benson Field at Yulman Stadium,30000.0,New Orleans,LA
Tulsa Golden Hurricane,Skelly Field at H. A. Chapman Stadium,30000.0,Tulsa,OK
UAB Blazers,Protective Stadium,47100.0,Birmingham,AL
UCF Knights,Acrisure Bounce House,44206.0,Orlando[c],FL
UCLA Bruins,Rose Bowl Stadium,89702.0,Pasadena,CA
UConn Huskies,Pratt & Whitney Stadium at Rentschler Field,38000.0,East Hartford,CT
UMass Minutemen,Warren McGuirk Alumni Stadium,17000.0,Hadley[o],MA
UNLV Rebels,Allegiant Stadium,65000.0,Paradise[d],NV
USC Trojans,Los Angeles Memorial Coliseum,77500.0,Los Angeles,CA
UTEP Miners,Sun Bowl Stadium,51500.0,El Paso,TX
UTSA Roadrunners,Alamodome,64000.0,San Antonio,TX
Utah State Aggies,Merlin Olsen Field at Maverik Stadium,25513.0,Logan,UT
Utah Utes,Rice–Eccles Stadium,51444.0,Salt Lake City,UT
