season,week,seasonType,startDateEastern,dayOfWeek,kickoffTimeStr,homeTeam,awayTeam,homeTeamRank,awayTeamRank,isRankedMatchup,stadium,capacity,city,state,neutralSite,isRivalry,conferenceGame,excitementIndex,lowest_price,average_price,listing_count,group_price_2,group_price_4,lowest_price_upper,lowest_price_lower
2025,1,regular,2025-08-23 12:00:00-04:00,Saturday,12:00 PM,Iowa State,Kansas State,15.0,,False,Jack Trice Stadium,61500.0,Ames,IA,True,True,True,,134,138,125,134,158,56,135
2025,1,regular,2025-08-23 18:30:00-04:00,Saturday,6:30 PM,Kansas,Fresno State,,,False,David Booth Kansas Memorial Stadium,50071.0,Lawrence,KS,False,False,False,,123,211,977,66,217,46,198
2025,1,regular,2025-08-23 19:00:00-04:00,Saturday,7:00 PM,Western Kentucky,Sam Houston,,,False,Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,22113.0,Bowling Green,KY,False,False,True,,39,228,614,138,178,34,194
2025,1,regular,2025-08-23 19:30:00-04:00,Saturday,7:30 PM,Hawai'i,Stanford,,,False,,,,,False,False,False,,107,132,442,64,320,60,80
2025,1,regular,2025-08-28 00:00:00-04:00,Thursday,,San Diego State,Stony Brook,,,False,Snapdragon Stadium,35000.0,San Diego,CA,False,False,False,,135,241,874,132,179,81,140
2025,1,regular,2025-08-28 17:30:00-04:00,Thursday,5:30 PM,South Florida,Boise State,,8.0,False,Raymond James Stadium,65857.0,Tampa,FL,False,False,False,,136,160,305,175,146,95,135
2025,1,regular,2025-08-28 18:00:00-04:00,Thursday,6:00 PM,Rutgers,Ohio,,,False,SHI Stadium,52454.0,Piscataway,NJ,False,False,False,,81,231,537,117,171,51,185
2025,1,regular,2025-08-28 18:00:00-04:00,Thursday,6:00 PM,Bowling Green,Lafayette,,,False,Doyt L. Perry Stadium,24000.0,Bowling Green,OH,False,False,False,,113,152,439,164,343,82,150
2025,1,regular,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,UCF,Jacksonville State,,,False,Acrisure Bounce House,44206.0,Orlando[c],FL,False,False,False,,38,62,113,152,153,66,165
2025,1,regular,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,UL Monroe,St. Francis (PA),,,False,,,,,False,False,False,,49,53,184,106,386,88,136
2025,1,regular,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,NC State,East Carolina,,,False,Wayne Day Family Field at Carter–Finley Stadium,57583.0,Raleigh,NC,False,True,False,,124,66,210,144,101,38,110
2025,1,regular,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,Akron,Wyoming,,,False,InfoCision Stadium–Summa Field,30000.0,Akron,OH,False,False,False,,140,138,259,157,264,66,90
2025,1,regular,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,Delaware,Delaware State,,,False,Delaware Stadium,18309.0,Newark,DE,False,True,False,,20,187,597,139,111,30,130
2025,1,regular,2025-08-28 19:30:00-04:00,Thursday,7:30 PM,Missouri,Central Arkansas,22.0,,False,Faurot Field at Memorial Stadium,61620.0,Columbia,MO,False,False,False,,119,167,457,140,249,58,83
2025,1,regular,2025-08-28 19:30:00-04:00,Thursday,7:30 PM,Oklahoma State,UT Martin,,,False,Boone Pickens Stadium,60218.0,Stillwater,OK,False,False,False,,134,51,610,126,144,36,130
2025,1,regular,2025-08-28 19:30:00-04:00,Thursday,7:30 PM,Duke,Elon,,,False,Brooks Field at Wallace Wade Stadium,35018.0,Durham,NC,False,False,False,,70,231,524,169,111,56,119
2025,1,regular,2025-08-28 20:00:00-04:00,Thursday,8:00 PM,Minnesota,Buffalo,,,False,Huntington Bank Stadium,50805.0,Minneapolis,MN,False,False,False,,112,223,276,67,272,35,122
2025,1,regular,2025-08-28 20:00:00-04:00,Thursday,8:00 PM,Houston,Stephen F. Austin,,,False,John O'Quinn Field at Space City Financial Stadium,40000.0,Houston,TX,False,False,False,,68,228,725,75,220,79,102
2025,1,regular,2025-08-28 20:30:00-04:00,Thursday,8:30 PM,UAB,Alabama State,,,False,Protective Stadium,47100.0,Birmingham,AL,False,False,False,,55,176,535,78,336,27,104
2025,1,regular,2025-08-28 21:00:00-04:00,Thursday,9:00 PM,Wisconsin,Miami (OH),,,False,Camp Randall Stadium,76057.0,Madison,WI,False,False,False,,110,91,913,155,114,29,153
2025,1,regular,2025-08-28 21:00:00-04:00,Thursday,9:00 PM,Cincinnati,Nebraska,,,False,Nippert Stadium,38088.0,Cincinnati,OH,True,False,False,,65,243,421,170,341,64,198
2025,1,regular,2025-08-29 18:00:00-04:00,Friday,6:00 PM,Army,Tarleton State,21.0,,False,Blaik Field at Michie Stadium,38000.0,West Point,NY,False,False,False,,94,196,114,179,226,59,136
2025,1,regular,2025-08-29 19:00:00-04:00,Friday,7:00 PM,Charlotte,App State,,,False,McColl–Richardson Field at Jerry Richardson Stadium,15314.0,Charlotte,NC,True,False,False,,136,69,775,56,392,34,138
2025,1,regular,2025-08-29 19:00:00-04:00,Friday,7:00 PM,Michigan State,Western Michigan,,,False,Spartan Stadium,75005.0,East Lansing,MI,False,False,False,,124,216,152,127,372,56,194
2025,1,regular,2025-08-29 19:00:00-04:00,Friday,7:00 PM,Wake Forest,Kennesaw State,,,False,Allegacy Federal Credit Union Stadium,31500.0,Winston-Salem,NC,False,False,False,,95,159,542,90,187,79,194
2025,1,regular,2025-08-29 19:00:00-04:00,Friday,7:00 PM,Florida International,Bethune-Cookman,,,False,,,,,True,False,False,,65,166,351,114,236,39,129
2025,1,regular,2025-08-29 19:30:00-04:00,Friday,7:30 PM,Illinois,Western Illinois,16.0,,False,Memorial Stadium,60670.0,Champaign,IL,False,False,False,,101,139,652,106,208,32,168
2025,1,regular,2025-08-29 19:30:00-04:00,Friday,7:30 PM,Kansas,Wagner,,,False,David Booth Kansas Memorial Stadium,50071.0,Lawrence,KS,False,False,False,,28,216,514,113,386,53,174
2025,1,regular,2025-08-29 20:00:00-04:00,Friday,8:00 PM,Colorado,Georgia Tech,25.0,,False,Folsom Field,50183.0,Boulder,CO,False,False,False,,145,185,784,200,219,62,198
2025,1,regular,2025-08-29 20:00:00-04:00,Friday,8:00 PM,Baylor,Auburn,,,False,McLane Stadium,45140.0,Waco,TX,False,False,False,,128,159,870,150,304,71,174
2025,1,regular,2025-08-29 21:30:00-04:00,Friday,9:30 PM,Sam Houston,UNLV,,23.0,False,Elliott T. Bowers Stadium[O 1],14000.0,Huntsville,TX,False,False,False,,130,85,461,130,286,22,188
2025,1,regular,2025-08-29 22:30:00-04:00,Friday,10:30 PM,San José State,Central Michigan,,,False,,,,,False,False,False,,139,131,813,55,399,32,192
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Ohio State,Texas,1.0,4.0,True,Ohio Stadium,102780.0,Columbus,OH,False,False,False,,50,79,820,149,343,78,144
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Kent State,Merrimack,,,False,Dix Stadium,25000.0,Kent,OH,False,False,False,,88,246,485,118,137,71,197
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Navy,VMI,,,False,Navy–Marine Corps Memorial Stadium,34000.0,Annapolis,MD,False,False,False,,93,239,671,113,326,52,152
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Purdue,Ball State,,,False,Ross–Ade Stadium,61441.0,West Lafayette,IN,False,False,False,,52,161,328,97,161,56,154
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Tulane,Northwestern,,,False,Benson Field at Yulman Stadium,30000.0,New Orleans,LA,False,False,False,,120,94,775,143,260,94,113
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Pittsburgh,Duquesne,,,False,Acrisure Stadium,68400.0,Pittsburgh,PA,False,False,False,,102,168,766,112,153,84,152
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Southern Miss,Mississippi State,,,False,Carlisle-Faulkner Field at M.M. Roberts Stadium,36000.0,Hattiesburg,MS,False,False,False,,77,78,909,138,158,48,86
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Syracuse,Tennessee,20.0,9.0,True,JMA Wireless Dome,42784.0,Syracuse,NY,True,False,False,,133,247,184,72,239,77,174
2025,1,regular,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,Maryland,Florida Atlantic,,,False,SECU Stadium,51802.0,College Park,MD,False,False,False,,82,221,553,101,312,70,117
