id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr
401756846,2025,1,regular,2025-08-23 16:00:00+00:00,False,False,True,True,,3504,Aviva Stadium,66,Iowa State,fbs,Big 12,,,,1616.0,,2306,Kansas State,fbs,Big 12,,,,1669.0,,,,Aer Lingus College Football Classic,2025-08-23,Saturday,12:00 PM
401760371,2025,1,regular,2025-08-23 20:00:00+00:00,False,False,False,False,,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,,,,,,304,Idaho State,fcs,Big Sky,,,,,,,,,2025-08-23,Saturday,4:00 PM
401756847,2025,1,regular,2025-08-23 22:30:00+00:00,False,False,False,False,,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,,,,1583.0,,278,Fresno State,fbs,Mountain West,,,,1490.0,,,,,2025-08-23,Saturday,6:30 PM
401757218,2025,1,regular,2025-08-23 23:00:00+00:00,False,False,False,True,,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,,,,1409.0,,2534,Sam Houston,fbs,Conference USA,,,,1452.0,,,,,2025-08-23,Saturday,7:00 PM
401754516,2025,1,regular,2025-08-23 23:30:00+00:00,False,False,False,False,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,,,,1257.0,,24,Stanford,fbs,ACC,,,,1283.0,,,,,2025-08-23,Saturday,7:30 PM
401760357,2025,1,regular,2025-08-28 04:00:00+00:00,True,False,False,False,,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,,,,1318.0,,2619,Stony Brook,fcs,CAA,,,,,,,,,2025-08-28,Thursday,
401762522,2025,1,regular,2025-08-28 21:30:00+00:00,False,False,False,False,,3886,Raymond James Stadium,58,South Florida,fbs,American Athletic,,,,1456.0,,68,Boise State,fbs,Mountain West,,,,1676.0,,,,,2025-08-28,Thursday,5:30 PM
401752794,2025,1,regular,2025-08-28 22:00:00+00:00,False,False,False,False,,6577,SHI Stadium,164,Rutgers,fbs,Big Ten,,,,1522.0,,195,Ohio,fbs,Mid-American,,,,1621.0,,,,,2025-08-28,Thursday,6:00 PM
401762790,2025,1,regular,2025-08-28 22:00:00+00:00,False,False,False,False,,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,,,,1461.0,,322,Lafayette,fcs,Patriot,,,,,,,,,2025-08-28,Thursday,6:00 PM
401761588,2025,1,regular,2025-08-28 23:00:00+00:00,False,False,False,False,,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,,,,1281.0,,2598,St. Francis (PA),fcs,NEC,,,,,,,,,2025-08-28,Thursday,7:00 PM
401762789,2025,1,regular,2025-08-28 23:00:00+00:00,False,False,False,False,,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,,,,1245.0,,2751,Wyoming,fbs,Mountain West,,,,1367.0,,,,,2025-08-28,Thursday,7:00 PM
401757219,2025,1,regular,2025-08-28 23:00:00+00:00,False,False,False,False,,3695,Delaware Stadium,48,Delaware,fbs,Conference USA,,,,1500.0,,2169,Delaware State,fcs,MEAC,,,,,,,,,2025-08-28,Thursday,7:00 PM
401756848,2025,1,regular,2025-08-28 23:00:00+00:00,False,False,False,False,,3652,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,,,,1538.0,,55,Jacksonville State,fbs,Conference USA,,,,1650.0,,,,,2025-08-28,Thursday,7:00 PM
401754373,2025,1,regular,2025-08-28 23:00:00+00:00,False,False,False,False,,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,,,,1501.0,,151,East Carolina,fbs,American Athletic,,,,1435.0,,,,,2025-08-28,Thursday,7:00 PM
401756876,2025,1,regular,2025-08-28 23:30:00+00:00,False,False,False,False,,3646,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,,,,1334.0,,2630,UT Martin,fcs,Big South-OVC,,,,,,,,,2025-08-28,Thursday,7:30 PM
401752674,2025,1,regular,2025-08-28 23:30:00+00:00,False,False,False,False,,3838,Memorial Stadium,142,Missouri,fbs,SEC,,,,1640.0,,2110,Central Arkansas,fcs,UAC,,,,,,,,,2025-08-28,Thursday,7:30 PM
401754517,2025,1,regular,2025-08-28 23:30:00+00:00,False,False,False,False,,3982,Wallace Wade Stadium,150,Duke,fbs,ACC,,,,1526.0,,2210,Elon,fcs,CAA,,,,,,,,,2025-08-28,Thursday,7:30 PM
401752793,2025,1,regular,2025-08-29 00:00:00+00:00,False,False,False,False,,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,,,,1616.0,,2084,Buffalo,fbs,Mid-American,,,,1416.0,,,,,2025-08-28,Thursday,8:00 PM
401756852,2025,1,regular,2025-08-29 00:00:00+00:00,False,False,False,False,,4728,TDECU Stadium,248,Houston,fbs,Big 12,,,,1375.0,,2617,Stephen F. Austin,fcs,Southland,,,,,,,,,2025-08-28,Thursday,8:00 PM
401762430,2025,1,regular,2025-08-29 00:30:00+00:00,False,False,False,False,,7221,Protective Stadium,5,UAB,fbs,American Athletic,,,,1319.0,,2011,Alabama State,fcs,SWAC,,,,,,,,,2025-08-28,Thursday,8:30 PM
