id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff
401756846,2025,1,regular,2025-08-23 16:00:00+00:00,False,True,True,True,,3504,Aviva Stadium,2306,Kansas State,fbs,Big 12,21,"[0, 7, 0, 14]",0.20154441893100739,1669.0,1666.0,66,Iowa State,fbs,Big 12,24,"[7, 0, 7, 10]",0.7984555810689926,1616.0,1619.0,6.029094160739601,,Aer Lingus College Football Classic,2025-08-23 12:00:00-04:00,Saturday,12:00 PM,,
401760371,2025,1,regular,2025-08-23 20:00:00+00:00,False,True,False,False,,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,38,"[0, 14, 10, 14]",0.9787868857383728,,,304,Idaho State,fcs,Big Sky,31,"[10, 7, 7, 7]",0.021213114261627197,,,9.598561710191433,,,2025-08-23 16:00:00-04:00,Saturday,4:00 PM,,
401756847,2025,1,regular,2025-08-23 22:30:00+00:00,False,True,False,False,,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,31,"[14, 10, 7, 0]",1.0,1583.0,1632.0,278,Fresno State,fbs,Mountain West,7,"[7, 0, 0, 0]",0.0,1490.0,1441.0,3.7830408481663227,,,2025-08-23 18:30:00-04:00,Saturday,6:30 PM,,
401757218,2025,1,regular,2025-08-23 23:00:00+00:00,False,True,False,True,,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,41,"[7, 13, 14, 7]",0.8728970289230347,1409.0,1450.0,2534,Sam Houston,fbs,Conference USA,24,"[3, 7, 14, 0]",0.12710297107696533,1452.0,1411.0,6.04146368507938,,,2025-08-23 19:00:00-04:00,Saturday,7:00 PM,,
401754516,2025,1,regular,2025-08-23 23:30:00+00:00,False,True,False,False,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,23,"[7, 7, 3, 6]",0.41016319394111633,1257.0,1258.0,24,Stanford,fbs,ACC,20,"[10, 3, 0, 7]",0.5898368060588837,1283.0,1282.0,7.307567862447438,,,2025-08-23 19:30:00-04:00,Saturday,7:30 PM,,
401762522,2025,1,regular,2025-08-28 21:30:00+00:00,False,True,False,False,,3886,Raymond James Stadium,58,South Florida,fbs,American Athletic,34,"[0, 10, 14, 10]",0.9718407988548279,1456.0,1554.0,68,Boise State,fbs,Mountain West,7,"[7, 0, 0, 0]",0.02815920114517212,1676.0,1578.0,5.137221554324761,,,2025-08-28 17:30:00-04:00,Thursday,5:30 PM,,
401762790,2025,1,regular,2025-08-28 22:00:00+00:00,False,True,False,False,,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,26,"[7, 10, 6, 3]",1.0,1461.0,1461.0,322,Lafayette,fcs,Patriot,7,"[0, 0, 7, 0]",0.0,,,2.717791924914604,,,2025-08-28 18:00:00-04:00,Thursday,6:00 PM,,
401752794,2025,1,regular,2025-08-28 22:00:00+00:00,False,True,False,False,,6577,SHI Stadium,164,Rutgers,fbs,Big Ten,34,"[7, 24, 0, 3]",0.9000661373138428,1522.0,1524.0,195,Ohio,fbs,Mid-American,31,"[7, 10, 14, 0]",0.09993386268615723,1621.0,1619.0,6.943864856309906,,,2025-08-28 18:00:00-04:00,Thursday,6:00 PM,,
401757219,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3695,Delaware Stadium,48,Delaware,fbs,Conference USA,35,"[0, 14, 7, 14]",0.948571503162384,1500.0,1500.0,2169,Delaware State,fcs,MEAC,17,"[0, 3, 7, 7]",0.05142849683761597,,,4.477316433427869,,,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,,
401756848,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3652,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,17,"[0, 0, 3, 14]",0.9146236181259155,1538.0,1554.0,55,Jacksonville State,fbs,Conference USA,10,"[0, 0, 3, 7]",0.08537638187408447,1650.0,1634.0,7.405744591220826,,,2025-08-28 19:00:00-04:00,Thursday,7:00 PM,,
