event_id,startDateEastern,week,homeConference,awayConference,predicted_lowest_price,optimal_purchase_date,optimal_purchase_time,optimal_source
6879247,2025-08-28T03:00:00,1,Big Ten,Mid-American,24.93,2025-08-08,12:00,model
6867563,2025-08-28T03:00:00,1,Mountain West,CAA,22.72,2025-08-17,00:00,model
6886689,2025-08-28T17:00:00,1,American Athletic,Mountain West,28.78,2025-08-19,06:00,model
6879241,2025-08-28T18:00:00,1,Big Ten,Mid-American,24.93,2025-08-08,12:00,model
6867592,2025-08-28T18:00:00,1,Mid-American,Patriot,13.21,2025-08-27,18:00,model
6878936,2025-08-28T18:00:00,1,SEC,UAC,16.08,2025-08-25,12:00,model
6886796,2025-08-28T18:00:00,1,Big 12,Big South-OVC,14.49,2025-08-27,12:00,model
7016297,2025-08-28T18:00:00,1,Sun Belt,NEC,15.87,2025-08-22,18:00,model
6863440,2025-08-28T19:00:00,1,Big Ten,Mid-American,21.8,2025-08-18,12:00,model
6885491,2025-08-28T19:00:00,1,American Athletic,SWAC,27.15,2025-08-26,18:00,model
6886830,2025-08-28T19:00:00,1,Big 12,Conference USA,7.26,2025-08-27,12:00,model
6887036,2025-08-28T19:00:00,1,Mid-American,Mountain West,28.8,2025-08-27,18:00,model
6886533,2025-08-28T19:00:00,1,ACC,American Athletic,122.15,2025-08-06,00:00,model
6953577,2025-08-28T19:00:00,1,ACC,CAA,11.16,2025-08-27,12:00,model
6863723,2025-08-28T19:00:00,1,Big 12,Southland,19.04,2025-08-13,00:00,model
6876516,2025-08-28T20:00:00,1,Big Ten,Mid-American,4.31,2025-08-24,18:00,model
6809418,2025-08-28T20:00:00,1,Big 12,Big Ten,52.05,2025-08-27,00:00,model
6886786,2025-08-29T18:00:00,1,Big 12,NEC,8.37,2025-08-28,18:00,model
6849988,2025-08-29T18:00:00,1,Big 12,ACC,120.53,2025-08-18,12:00,model
6879347,2025-08-29T18:00:00,1,Big Ten,Big South-OVC,3.02,2025-08-27,00:00,model
7020963,2025-08-29T18:00:00,1,American Athletic,UAC,5.18,2025-08-28,00:00,model
6863435,2025-08-29T19:00:00,1,Big Ten,Mid-American,46.3,2025-08-07,12:00,model
7038973,2025-08-29T19:00:00,1,Conference USA,SWAC,21.61,2025-08-28,18:00,model
6886597,2025-08-29T19:00:00,1,ACC,Conference USA,5.87,2025-08-19,12:00,model
6887200,2025-08-29T19:00:00,1,Mountain West,Mid-American,17.48,2025-08-28,18:00,model
6798223,2025-08-29T19:00:00,1,Big 12,SEC,65.78,2025-08-28,18:00,model
6867578,2025-08-29T20:00:00,1,Conference USA,Mountain West,20.06,2025-08-28,06:00,model
6863432,2025-08-30T03:00:00,1,Big Ten,Mountain West,67.94,2025-08-26,12:00,model
6877372,2025-08-30T03:00:00,1,Big Ten,American Athletic,9.15,2025-08-27,12:00,model
6270460,2025-08-30T03:00:00,1,American Athletic,Southern,40.94,2025-07-31,06:00,model
6887457,2025-08-30T11:00:00,1,Sun Belt,SEC,23.75,2025-08-29,18:00,model
6850573,2025-08-30T11:00:00,1,American Athletic,Big Ten,2.1,2025-08-27,06:00,model
6878897,2025-08-30T12:00:00,1,SEC,Mid-American,16.64,2025-08-28,12:00,model
6887062,2025-08-30T12:00:00,1,Mid-American,FCS Independents,9.69,2025-08-29,18:00,model
6916578,2025-08-30T12:00:00,1,ACC,NEC,31.2,2025-08-29,18:00,model
6862846,2025-08-30T12:00:00,1,Big Ten,American Athletic,9.15,2025-08-27,12:00,model
6879215,2025-08-30T12:00:00,1,Big Ten,Mid-American,9.22,2025-08-25,12:00,model
6796379,2025-08-30T12:00:00,1,Big Ten,SEC,234.24,2025-08-29,00:00,model
6796426,2025-08-30T12:00:00,1,SEC,ACC,24.33,2025-08-29,12:00,model
6886638,2025-08-30T12:00:00,1,American Athletic,Southern,40.94,2025-07-31,06:00,model
6887099,2025-08-30T13:00:00,1,Mountain West,Patriot,19.79,2025-08-19,00:00,model
6877458,2025-08-30T13:00:00,1,Big Ten,Big Sky,46.29,2025-08-24,12:00,model
6797955,2025-08-30T14:00:00,1,Big 12,MVFC,20.09,2025-08-24,00:00,model
6863742,2025-08-30T14:00:00,1,Big 12,NEC,23.62,2025-08-29,12:00,model
6886433,2025-08-30T14:00:00,1,ACC,Patriot,2.02,2025-08-28,06:00,model
6849308,2025-08-30T14:00:00,1,FBS Independents,NEC,11.34,2025-08-08,18:00,model
6879116,2025-08-30T14:00:00,1,Big Ten,Sun Belt,23.84,2025-08-19,12:00,model
6887083,2025-08-30T14:00:00,1,Mid-American,Patriot,13.38,2025-08-29,18:00,model
6886636,2025-08-30T15:00:00,1,American Athletic,Southern,16.51,2025-08-26,12:00,model
6849940,2025-08-30T15:00:00,1,ACC,SEC,180.88,2025-08-29,18:00,model
6886516,2025-08-30T15:00:00,1,ACC,UAC,6.84,2025-08-09,12:00,model
6878807,2025-08-30T15:00:00,1,SEC,SWAC,25.46,2025-08-13,12:00,model
6886991,2025-08-30T15:00:00,1,Mid-American,American Athletic,14.46,2025-08-29,18:00,model
6877503,2025-08-30T15:00:00,1,Big Ten,Mountain West,11.04,2025-08-28,12:00,model
6878847,2025-08-30T15:00:00,1,SEC,Sun Belt,33.09,2025-08-28,06:00,model
6886905,2025-08-30T16:00:00,1,Conference USA,CAA,20.46,2025-08-29,18:00,model
6861938,2025-08-30T16:00:00,1,Big Ten,Conference USA,13.6,2025-08-29,00:00,model
6796422,2025-08-30T17:00:00,1,SEC,MVFC,35.73,2025-08-28,06:00,model
6862838,2025-08-30T17:00:00,1,Big Ten,CAA,24.14,2025-08-28,18:00,model
6887205,2025-08-30T17:00:00,1,Mountain West,Conference USA,33.24,2025-08-27,12:00,model
6867571,2025-08-30T18:00:00,1,Conference USA,Southland,17.2,2025-08-29,12:00,model
6879075,2025-08-30T18:00:00,1,SEC,Big South-OVC,6.32,2025-08-29,18:00,model
6862877,2025-08-30T18:00:00,1,Sun Belt,Big Sky,34.54,2025-08-19,18:00,model
6867517,2025-08-30T18:00:00,1,Mountain West,Sun Belt,16.98,2025-08-29,00:00,model
6886735,2025-08-30T18:00:00,1,Big 12,Big Sky,70.5,2025-08-07,12:00,model
6886951,2025-08-30T18:00:00,1,Conference USA,UAC,7.18,2025-08-29,18:00,model
6863602,2025-08-30T18:00:00,1,ACC,Sun Belt,7.23,2025-08-29,12:00,model
6878995,2025-08-30T18:00:00,1,SEC,American Athletic,57.76,2025-08-29,18:00,model
6887410,2025-08-30T18:00:00,1,Sun Belt,Big South-OVC,13.88,2025-08-27,00:00,model
6867576,2025-08-30T18:00:00,1,Conference USA,UAC,19.32,2025-08-27,12:00,model
6887474,2025-08-30T18:00:00,1,Sun Belt,Southland,16.55,2025-08-29,18:00,model
6878920,2025-08-30T18:00:00,1,SEC,Sun Belt,16.88,2025-08-29,18:00,model
6886789,2025-08-30T18:00:00,1,Big 12,MVFC,42.91,2025-08-28,12:00,model
6887424,2025-08-30T18:00:00,1,Sun Belt,MEAC,24.53,2025-08-29,18:00,model
6863729,2025-08-30T18:00:00,1,Big 12,SWAC,37.35,2025-08-16,12:00,model
6849938,2025-08-30T19:00:00,1,ACC,SEC,287.58,2025-08-28,18:00,model
6886677,2025-08-30T19:00:00,1,American Athletic,UAC,11.52,2025-08-28,18:00,model
6887418,2025-08-30T19:00:00,1,Sun Belt,American Athletic,24.44,2025-08-29,00:00,model
6976492,2025-08-30T19:00:00,1,Conference USA,CAA,22.07,2025-08-20,18:00,model
6886709,2025-08-30T19:00:00,1,Big 12,Mountain West,9.44,2025-08-26,12:00,model
6861914,2025-08-30T19:00:00,1,Pac-12,ACC,23.05,2025-08-20,18:00,model
6887466,2025-08-30T19:00:00,1,Sun Belt,Mid-American,16.11,2025-08-26,12:00,model
6879299,2025-08-30T19:00:00,1,Big Ten,Mountain West,67.94,2025-08-26,12:00,model
6886722,2025-08-30T19:00:00,1,Big 12,Big Sky,15.12,2025-08-12,12:00,model
6878488,2025-08-30T19:00:00,1,SEC,NEC,32.31,2025-08-29,00:00,model
6886648,2025-08-30T19:00:00,1,American Athletic,Southland,20.36,2025-08-29,18:00,model
6850414,2025-08-30T20:00:00,1,Big Ten,Big 12,26.55,2025-08-29,00:00,model
6952506,2025-08-30T20:00:00,1,ACC,Southland,3.54,2025-08-29,06:00,model
6863494,2025-08-30T20:00:00,1,Big Ten,Mountain West,8.32,2025-08-26,12:00,model
6880635,2025-08-31T15:00:00,1,SEC,ACC,30.47,2025-08-30,06:00,model
6886525,2025-08-31T19:00:00,1,ACC,FBS Independents,192.26,2025-08-30,06:00,model
7124721,2025-09-01T03:00:00,0,,,12.73,2025-08-22,18:00,model
6798150,2025-09-01T20:00:00,1,ACC,Big 12,69.35,2025-08-23,12:00,model
6877774,2025-09-05T18:00:00,2,Big Ten,Big South-OVC,30.59,2025-09-03,18:00,model
6861716,2025-09-05T19:00:00,2,Mountain West,Big Sky,39.41,2025-08-25,18:00,model
6862849,2025-09-05T19:00:00,2,Big Ten,Mid-American,2.0,2025-09-02,06:00,model
6886519,2025-09-05T19:00:00,2,ACC,Sun Belt,6.0,2025-08-30,06:00,model
6887155,2025-09-06T03:00:00,2,Mountain West,Big Sky,17.51,2025-09-01,12:00,model
