homeTeam,awayTeam,startDateEastern,week,predicted_lowest_price,optimal_purchase_date,optimal_purchase_time
Iowa State,Kansas State,2025-08-23 12:00:00-04:00,1,87.23,2025-08-22,06:00
Kansas,Fresno State,2025-08-23 18:30:00-04:00,1,47.16,2025-08-22,06:00
Western Kentucky,Sam Houston,2025-08-23 19:00:00-04:00,1,104.08,2025-08-22,06:00
Hawai'i,Stanford,2025-08-23 19:30:00-04:00,1,105.73,2025-08-22,06:00
San Diego State,Stony Brook,2025-08-28 00:00:00-04:00,1,65.55,2025-08-27,06:00
South Florida,Boise State,2025-08-28 17:30:00-04:00,1,71.08,2025-08-27,06:00
Rutgers,Ohio,2025-08-28 18:00:00-04:00,1,74.11,2025-08-27,06:00
Bowling Green,Lafayette,2025-08-28 18:00:00-04:00,1,80.27,2025-08-27,06:00
UCF,Jacksonville State,2025-08-28 19:00:00-04:00,1,72.45,2025-08-27,06:00
UL Monroe,St. Francis (PA),2025-08-28 19:00:00-04:00,1,105.73,2025-08-27,06:00
NC State,East Carolina,2025-08-28 19:00:00-04:00,1,79.38,2025-08-27,06:00
Akron,Wyoming,2025-08-28 19:00:00-04:00,1,82.04,2025-08-27,06:00
Delaware,Delaware State,2025-08-28 19:00:00-04:00,1,96.28,2025-08-27,06:00
Missouri,Central Arkansas,2025-08-28 19:30:00-04:00,1,110.61,2025-08-27,06:00
Oklahoma State,UT Martin,2025-08-28 19:30:00-04:00,1,70.73,2025-08-27,06:00
Duke,Elon,2025-08-28 19:30:00-04:00,1,100.51,2025-08-27,06:00
Minnesota,Buffalo,2025-08-28 20:00:00-04:00,1,80.72,2025-08-27,06:00
Houston,Stephen F. Austin,2025-08-28 20:00:00-04:00,1,56.73,2025-08-27,06:00
UAB,Alabama State,2025-08-28 20:30:00-04:00,1,62.48,2025-08-27,06:00
Wisconsin,Miami (OH),2025-08-28 21:00:00-04:00,1,75.37,2025-08-27,06:00
Cincinnati,Nebraska,2025-08-28 21:00:00-04:00,1,68.14,2025-08-27,06:00
