schedule_team,matched_event_team,match_score
TCU,TCU Horned Frogs,0.3636
SMU,SMU Mustangs,0.4
BYU,BYU Cougars,0.4286
UAB,UAB Blazers,0.4286
UCF,UCF Knights,0.4286
USC,USC Trojans,0.4286
VMI,VMI Keydets,0.4286
Army,Army Black Knights,0.4444
Tulsa,Tulsa Golden Hurricane,0.4444
Hawai'i,Hawaii Rainbow Warriors,0.4615
LSU,LSU Tigers,0.4615
Miami,Miami Hurricanes,0.4762
Purdue,Purdue Boilermakers,0.48
Campbell,Campbell Fighting Camels,0.5
Duke,Duke Blue Devils,0.5
Elon,Elon Phoenix,0.5
Maine,Maine Black Bears,0.5
Marshall,Marshall Thundering Herd,0.5
Navy,Navy Midshipmen,0.5
Ohio,Ohio Bobcats,0.5
Troy,Troy Trojans,0.5
UTSA,UTSA Roadrunners,0.5
Tulane,Tulane Green Wave,0.5217
McNeese,McNeese State Cowboys,0.5263
UCLA,UCLA Bruins,0.5333
Illinois,Illinois Fighting Illini,0.5385
UAlbany,UAlbany Great Danes,0.5385
Minnesota,Minnesota Golden Gophers,0.5455
Nevada,Nevada Wolf Pack,0.5455
Idaho,Idaho Vandals,0.5556
UConn,UConn Huskies,0.5556
UL Monroe,Louisiana Monroe Warhawks,0.5556
Bryant,Bryant Bulldogs,0.5714
Furman,Furman Paladins,0.5714
Kansas,Kansas Jayhawks,0.5714
Massachusetts,UMass Minutemen,0.5714
Nebraska,Nebraska Cornhuskers,0.5714
Notre Dame,Notre Dame Fighting Irish,0.5714
Wagner,Wagner Seahawks,0.5714
Gardner-Webb,Gardner-Webb Runnin' Bulldogs,0.5854
Nicholls,Nicholls State Colonels,0.5882
Arkansas,Arkansas Razorbacks,0.5926
Michigan,Michigan Wolverines,0.5926
Iowa,Iowa Hawkeyes,0.6
SE Louisiana,Southeastern Louisiana Lions,0.6
Toledo,Toledo Rockets,0.6
California,California Golden Bears,0.6061
Arizona,Arizona Wildcats,0.6087
Indiana,Indiana Hoosiers,0.6087
Samford,Samford Bulldogs,0.6087
Wofford,Wofford Terriers,0.6087
Wake Forest,Wake Forest Demon Deacons,0.6111
Maryland,Maryland Terrapins,0.6154
Rice,Rice Owls,0.6154
Utah,Utah Utes,0.6154
Louisiana,Louisville Cardinals,0.6207
Auburn,Auburn Tigers,0.6316
Towson,Towson Tigers,0.6316
Colgate,Colgate Raiders,0.6364
Houston,Houston Cougars,0.6364
Wyoming,Wyoming Cowboys,0.6364
Cal Poly,Cal Poly Mustangs,0.64
Long Island University,Sam Houston State University,0.64
Stanford,Stanford Cardinal,0.64
Vanderbilt,Vanderbilt Commodores,0.6452
Bowling Green,Bowling Green State Falcons,0.65
Akron,Akron Zips,0.6667
Baylor,Baylor Bears,0.6667
Clemson,Clemson Tigers,0.6667
Holy Cross,Holy Cross Crusaders,0.6667
Lafayette,Lafayette Leopards,0.6667
Louisville,Louisville Cardinals,0.6667
Memphis,Memphis Tigers,0.6667
Mercer,Mercer Bears,0.6667
Merrimack,Merrimack Warriors,0.6667
North Dakota,North Dakota State Bison,0.6667
North Texas,North Texas Mean Green,0.6667
Oregon,Oregon Ducks,0.6667
Richmond,Richmond Spiders,0.6667
Texas Tech,Texas Tech Red Raiders,0.6667
UT Martin,UT Martin Skyhawks,0.6667
Villanova,Villanova Wildcats,0.6667
West Virginia,West Virginia Mountaineers,0.6667
Central Connecticut,Central Connecticut State Blue Devils,0.6786
St. Francis (PA),Saint Francis (PA) Red Flash,0.6818
Austin Peay,Austin Peay Governors,0.6875
Stony Brook,Stony Brook Seawolves,0.6875
Cincinnati,Cincinnati Bearcats,0.6897
Miami (OH),Miami (OH) RedHawks,0.6897
Ohio State,Ohio State Buckeyes,0.6897
Pittsburgh,Pittsburgh Panthers,0.6897
Air Force,Air Force Falcons,0.6923
Wisconsin,Wisconsin Badgers,0.6923
Missouri,Missouri Tigers,0.6957
Ole Miss,Ole Miss Rebels,0.6957
Penn State,Central State,0.6957
UC Davis,UC Davis Aggies,0.6957
Buffalo,Buffalo Bulls,0.7
San José State,San Jose State Spartans,0.7027
Rutgers,Rutgers Scarlet Knights,0.7059
Temple,Temple Owls,0.7059
The Citadel,The Citadel Bulldogs,0.7097
Weber State,Weber State Wildcats,0.7097
Washington,Washington Huskies,0.7143
Arkansas State,Arkansas State Red Wolves,0.7179
Arizona State,Arizona State Sun Devils,0.72
Middle Tennessee,Middle Tennessee Blue Raiders,0.72
Texas A&M,Texas A&M Aggies,0.72
Indiana State,Indiana State Sycamores,0.7222
Robert Morris,Robert Morris Colonials,0.7222
Bucknell,Bucknell Bison,0.7273
Colorado,Colorado State,0.7273
Duquesne,Duquesne Dukes,0.7273
Fresno State,Fresno State Bulldogs,0.7273
