id,season,seasonType,week,startDate,homeTeam,awayTeam,homePoints,awayPoints,homePointDiff,awayPointDiff,homeClassification,awayClassification,neutralSite,venue,homeConference,awayConference,startTimeTBD,completed,conferenceGame,attendance,venueId,homeId,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401756846,2025,regular,1,2025-08-23 16:00:00+00:00,Kansas State,Iowa State,21.0,24.0,-3.0,3.0,fbs,fbs,True,Aviva Stadium,Big 12,Big 12,False,True,True,,3504.0,2306,"[0, 7, 0, 14]",0.20154441893100739,1669.0,1666.0,66,"[7, 0, 7, 10]",0.7984555810689926,1616.0,1619.0,6.029094160739601,,Aer Lingus College Football Classic
401756847,2025,regular,1,2025-08-23 22:30:00+00:00,Kansas,Fresno State,31.0,7.0,24.0,-24.0,fbs,fbs,False,Memorial Stadium,Big 12,Mountain West,False,True,False,,3833.0,2305,"[14, 10, 7, 0]",1.0,1583.0,1632.0,278,"[7, 0, 0, 0]",0.0,1490.0,1441.0,3.7830408481663227,,
401757218,2025,regular,1,2025-08-23 23:00:00+00:00,Western Kentucky,Sam Houston,41.0,24.0,17.0,-17.0,fbs,fbs,False,Houchens Industries-L.T. Smith Stadium,Conference USA,Conference USA,False,True,True,,3796.0,98,"[7, 13, 14, 7]",0.8728970289230347,1409.0,1450.0,2534,"[3, 7, 14, 0]",0.12710297107696533,1452.0,1411.0,6.04146368507938,,
401754516,2025,regular,1,2025-08-23 23:30:00+00:00,Hawai'i,Stanford,23.0,20.0,3.0,-3.0,fbs,fbs,False,Clarence T.C. Ching Athletics Complex,Mountain West,ACC,False,True,False,,7220.0,62,"[7, 7, 3, 6]",0.41016319394111633,1257.0,1258.0,24,"[10, 3, 0, 7]",0.5898368060588837,1283.0,1282.0,7.307567862447438,,
401762522,2025,regular,1,2025-08-28 21:30:00+00:00,South Florida,Boise State,34.0,7.0,27.0,-27.0,fbs,fbs,False,Raymond James Stadium,American Athletic,Mountain West,False,True,False,,3886.0,58,"[0, 10, 14, 10]",0.9718407988548279,1456.0,1554.0,68,"[7, 0, 0, 0]",0.02815920114517212,1676.0,1578.0,5.137221554324761,,
401752794,2025,regular,1,2025-08-28 22:00:00+00:00,Rutgers,Ohio,34.0,31.0,3.0,-3.0,fbs,fbs,False,SHI Stadium,Big Ten,Mid-American,False,True,False,,6577.0,164,"[7, 24, 0, 3]",0.9000661373138428,1522.0,1524.0,195,"[7, 10, 14, 0]",0.09993386268615723,1621.0,1619.0,6.943864856309906,,
401762789,2025,regular,1,2025-08-28 23:00:00+00:00,Akron,Wyoming,0.0,10.0,-10.0,10.0,fbs,fbs,False,InfoCision Stadium,Mid-American,Mountain West,False,True,False,,3768.0,2006,"[0, 0, 0, 0]",0.10256508737802505,1245.0,1235.0,2751,"[0, 3, 0, 7]",0.897434912621975,1367.0,1377.0,4.853832638856986,,
401756848,2025,regular,1,2025-08-28 23:00:00+00:00,UCF,Jacksonville State,17.0,10.0,7.0,-7.0,fbs,fbs,False,FBC Mortgage Stadium,Big 12,Conference USA,False,True,False,,3652.0,2116,"[0, 0, 3, 14]",0.9146236181259155,1538.0,1554.0,55,"[0, 0, 3, 7]",0.08537638187408447,1650.0,1634.0,7.405744591220826,,
401754373,2025,regular,1,2025-08-28 23:00:00+00:00,NC State,East Carolina,24.0,17.0,7.0,-7.0,fbs,fbs,False,Carter-Finley Stadium,ACC,American Athletic,False,True,False,,3670.0,152,"[3, 14, 7, 0]",0.7480055689811707,1501.0,1507.0,151,"[0, 7, 0, 10]",0.25199443101882935,1435.0,1429.0,4.6509769467251365,,
401752793,2025,regular,1,2025-08-29 00:00:00+00:00,Minnesota,Buffalo,23.0,10.0,13.0,-13.0,fbs,fbs,False,Huntington Bank Stadium,Big Ten,Mid-American,False,True,False,,3953.0,135,"[0, 10, 3, 10]",0.9927180409431458,1616.0,1625.0,2084,"[0, 3, 7, 0]",0.007281959056854248,1416.0,1407.0,4.44321876439467,,
