id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff,game_date,homeTeamRank,awayTeamRank,isRankedMatchup,capacity
401752912,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,,3861.0,Ohio Stadium,194,Ohio State Buckeyes,fbs,Big Ten,,,,2145.0,,164,Rutgers Scarlet Knights,fbs,Big Ten,,,,1458.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,28.0,28.0,2025-11-22,1.0,,False,102780
401762512,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,,3841.0,Michie Stadium,349,Army West Point Black Knights,fbs,American Athletic,,,,1529.0,,202,Tulsa Golden Hurricane,fbs,American Athletic,,,,1094.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,3.0,-19.0,2025-11-22,,,False,30000.0
401752781,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,False,,3795.0,Kyle Field,245,Texas A&M Aggies,fbs,SEC,,,,1896.0,1896.0,2535,Samford Bulldogs,fcs,Southern,,,,,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,1.0,,2025-11-22,3.0,,False,102733
401752778,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,,3835.0,"Memorial Stadium (Norman, OK)",201,Oklahoma Sooners,fbs,SEC,,,,1807.0,,142,Missouri Tigers,fbs,SEC,,,,1765.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,39.0,42.0,2025-11-22,12.0,22.0,True,80126.0
401752909,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,True,True,,4250.0,Wrigley Field,77,Northwestern Wildcats,fbs,Big Ten,,,,1526.0,,135,Minnesota Golden Gophers,fbs,Big Ten,,,,1496.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,-20.0,-13.0,2025-11-22,,,False,12023.0
401754606,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,False,,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest Demon Deacons,fbs,ACC,,,,1444.0,,48,Delaware Blue Hens,fbs,Conference USA,,,,1364.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,-10.0,3.0,2025-11-22,,,False,31500
401754602,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,,3735.0,Gerald J. Ford Stadium,2567,Southern Methodist (SMU) Mustangs,fbs,ACC,,,,1782.0,,97,Louisville Cardinals,fbs,ACC,,,,1709.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,18.0,14.0,2025-11-22,,15.0,False,32000
401756958,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,,3772.0,Jack Trice Stadium,66,Iowa State Cyclones,fbs,Big 12,,,,1600.0,,2305,Kansas Jayhawks,fbs,Big 12,,,,1554.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,8.0,-11.0,2025-11-22,,,False,61500
401754603,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,,3799.0,Lane Stadium,259,Virginia Tech Hokies,fbs,ACC,,,,1402.0,,2390,Miami Hurricanes,fbs,ACC,,,,1914.0,,,,,2025-11-22,Saturday,2025-11-22 12:00:00-05:00,-19.0,37.0,2025-11-22,,18.0,False,66233.0
401752776,2025,13,regular,2025-11-22 17:45:00+00:00,False,False,False,False,,3917.0,Sanford Stadium,61,Georgia Bulldogs,fbs,SEC,,,,2070.0,,2429,Charlotte,fbs,American Athletic,,,,1013.0,,,,,2025-11-22,Saturday,2025-11-22 12:45:00-05:00,3.0,-17.0,2025-11-22,5.0,,False,92746
