season,poll,week,poll_date,rank,school,first_place_votes
2026,AP,1,2026-09-08,1,Ohio State (1 0),46
2026,AP,1,2026-09-08,2,Georgia (1 0),0
2026,AP,1,2026-09-08,3,Notre Dame (1 0),4
2026,AP,1,2026-09-08,4,Texas (1 0),2
2026,AP,1,2026-09-08,5,Indiana (1 0),8
2026,AP,1,2026-09-08,6,Oregon (1 0),3
2026,AP,1,2026-09-08,7,Miami (FL) (1 0),0
2026,AP,1,2026-09-08,8,LSU (1 0),5
2026,AP,1,2026-09-08,9,Ole Miss (1 0),0
2026,AP,1,2026-09-08,10,Texas A&M (1 0),0
2026,AP,1,2026-09-08,11,Oklahoma (1 0),0
2026,AP,1,2026-09-08,12,Alabama (1 0),0
2026,AP,1,2026-09-08,13,Texas Tech (1 0),0
2026,AP,1,2026-09-08,14,USC (2 0),0
2026,AP,1,2026-09-08,15,BYU (1 0),0
2026,AP,1,2026-09-08,16,Penn State (1 0),0
2026,AP,1,2026-09-08,17,SMU (1 0),0
2026,AP,1,2026-09-08,18,Tennessee (1 0),0
2026,AP,1,2026-09-08,19,Washington (1 0),0
2026,AP,1,2026-09-08,20,Utah (1 0),0
2026,AP,1,2026-09-08,21,Iowa (1 0),0
2026,AP,1,2026-09-08,22,Houston (1 0),0
2026,AP,1,2026-09-08,23,Missouri (1 0),0
2026,AP,1,2026-09-08,24,Louisville (0 1),0
2026,AP,1,2026-09-08,25,Virginia (1 0),0
