season,poll,week,poll_date,rank,school,first_place_votes
2025,CFP,16,,1,Ohio State (8 0),0
2025,CFP,16,,2,Indiana (9 0),0
2025,CFP,16,,3,Texas A&M (8 0),0
2025,CFP,16,,4,Alabama (7 1),0
2025,CFP,16,,5,Georgia (7 1),0
2025,CFP,16,,6,Ole Miss (8 1),0
2025,CFP,16,,7,BYU (8 0),0
2025,CFP,16,,8,Texas Tech (8 1),0
2025,CFP,16,,9,Oregon (7 1),0
2025,CFP,16,,10,Notre Dame (6 2),0
2025,CFP,16,,11,Texas (7 2),0
2025,CFP,16,,12,Oklahoma (7 2),0
2025,CFP,16,,13,Utah (7 2),0
2025,CFP,16,,14,Virginia (8 1),0
2025,CFP,16,,15,Louisville (7 1),0
2025,CFP,16,,16,Vanderbilt (7 2),0
2025,CFP,16,,17,Georgia Tech (8 1),0
2025,CFP,16,,18,Miami (FL) (6 2),0
2025,CFP,16,,19,USC (6 2),0
2025,CFP,16,,20,Iowa (6 2),0
2025,CFP,16,,21,Michigan (7 2),0
2025,CFP,16,,22,Missouri (6 2),0
2025,CFP,16,,23,Washington (6 2),0
2025,CFP,16,,24,Pittsburgh (7 2),0
2025,CFP,16,,25,Tennessee (6 3),0
