feature,importance
hours_until_game,34.500338506673806
homeTeam,19.856606495014926
awayTeam,14.682924727426139
week,8.325666923837831
capacity,4.961220373124861
home_last_point_diff_at_snapshot,4.1330137035315095
kickoff_hour,3.8420279467555956
homeConference,2.598601035971644
season_year,2.3201090349852693
away_last_point_diff_at_snapshot,1.230841997460956
away_losses_at_snapshot,0.9834998936811978
away_wins_at_snapshot,0.8466836001385137
homeTeamRank,0.6234849259362129
isRivalry,0.31154385680875846
home_wins_at_snapshot_missing,0.3047812816574472
away_last_point_diff_at_snapshot_missing,0.15661569894184177
away_wins_at_snapshot_missing,0.1472206755575632
home_losses_at_snapshot_missing,0.11719134023423719
neutralSite,0.05762798226170213
isRankedMatchup,0.0
season_year_missing,0.0
hours_until_game_missing,0.0
awayTeamRank,0.0
home_last_point_diff_at_snapshot_missing,0.0
capacity_missing,0.0
week_missing,0.0
kickoff_hour_missing,0.0
away_losses_at_snapshot_missing,0.0
isRankedMatchup_missing,0.0
isRivalry_missing,0.0
neutralSite_missing,0.0
kickoff_dayofweek_missing,0.0
