feature,mean_importance,std_importance
days_until_game,-2.3684757858670005e-15,3.3495305785253868e-15
capacity,-2.3684757858670005e-15,3.3495305785253868e-15
homeTeamRank,-2.3684757858670005e-15,3.3495305785253868e-15
conferenceGame,-4.736951571734001e-15,3.3495305785253868e-15
awayTeamRank,-4.736951571734001e-15,3.3495305785253868e-15
isRankedMatchup,-4.736951571734001e-15,3.3495305785253868e-15
neutralSite,-7.105427357601002e-15,0.0
isRivalry,-7.105427357601002e-15,0.0
collectionSlot,-7.105427357601002e-15,0.0
homeConference,-0.003242958391184677,0.002634141088241796
week,-0.0052319002197857385,0.0018561433766179916
awayConference,-0.03851424138405098,0.00911252935570468
